Name,Type,Constellation,Magnitude,RAHour,RAMinute,DecSign,DecDeg,DecMinute
OCL 198,Open Cluster,Cyg,11,21,12.9,+,42,29
UGC 11708,Galaxy,Equ,14,21,14.9,+,2,50
UGC 11712,Galaxy,Aqr,14,21,16.5,-,0,50
PK 88-1.1,Planetary Nebula,Cyg,11,21,14.2,+,46,16
ESO 236-1,Galaxy,Ind,10.7,21,19,-,48,34
MCG 2-54-4,Galaxy,Aqr,14,21,19.8,-,8,47
UGC 11718,Galaxy,Vul,14,21,18.6,+,26,27
UGC 11727,Galaxy,Peg,14,21,21.1,+,23,4
UGC 11734,Galaxy,Peg,14,21,22.2,+,18,39
ESO 145-5,Galaxy,Pav,13,21,27.4,-,60,1
OCL 205,Open Cluster,Cyg,8.3,21,23.2,+,46,23
OCL 192,Open Cluster,Cyg,7,21,24.4,+,36,30
ESO 188-9,Galaxy,Ind,13,21,29,-,52,46
UGC 11741,Galaxy,Peg,15,21,26.2,+,14,10
OCL 208,Open Cluster,Cyg,9.7,21,24.2,+,48,1
MCG 2-54-27,Galaxy,Peg,15,21,26.6,+,12,13
UGC 11747,Galaxy,Aqr,15,21,28.1,-,1,38
ESO 287-28,Galaxy,Gru,12.3,21,30.5,-,43,6
ESO 287-31,Galaxy,Gru,13.9,21,30.6,-,43,9
MCG 2-54-10,Galaxy,Cap,14,21,29.5,-,11,28
UGC 11755,Galaxy,Aqr,14,21,29.9,+,2,25
M 15,Globular Cluster,Peg,6.4,21,30,+,12,10
ESO 287-36,Galaxy,Gru,11.6,21,32.5,-,44,5
UGC 11756,Galaxy,Vul,14,21,30,+,26,43
UGC 11759,Galaxy,Aqr,13,21,31.4,+,2,30
OCL 209,Open Cluster,Cyg,7.2,21,29.4,+,47,5
ESO 107-36,Galaxy,Ind,12,21,35.7,-,63,54
MCG 1-55-1,Galaxy,Peg,15,21,32.3,+,6,36
OCL 214,Open Cluster,Cyg,8.4,21,30.5,+,51,35
M 2,Globular Cluster,Aqr,6.5,21,33.5,-,0,49
ESO 188-12,Galaxy,Ind,11,21,36.5,-,54,33
M 39,Open Cluster,Cyg,4.6,21,32.2,+,48,26
IC 5121,Galaxy,Ind,13,21,41.3,-,63,54
ESO 287-48,Galaxy,Gru,12,21,40.3,-,42,32
M 30,Globular Cluster,Cap,7.5,21,40.4,-,23,11
IC 5127,Galaxy,Peg,13.1,21,39.7,+,6,17
ESO 531-15,Galaxy,Cap,15,21,39.9,-,22,28
ESO 531-18,Galaxy,Cap,15,21,40.1,-,22,25
ESO 287-52,Galaxy,Gru,13,21,42.4,-,44,48
NGC 7108,Galaxy,Aqr,15,21,41.8,-,6,43
UGC 11794,Galaxy,Peg,15,21,42.3,+,12,30
MCG 2-55-9,Galaxy,Peg,15,21,42.4,+,12,35
ESO 531-25,Galaxy,PsA,14,21,43.6,-,25,21
UGC 11796,Galaxy,Cyg,14,21,42.6,+,28,57
MCG 1-55-6,Galaxy,Aqr,15,21,44.4,-,6,33
MCG 1-55-8,Galaxy,Aqr,14,21,44.9,-,3,37
ESO 237-2,Galaxy,Ind,13,21,48.1,-,50,34
ESO 145-17,Galaxy,Ind,13,21,49.3,-,60,43
ESO 145-18,Galaxy,Ind,13,21,49.3,-,60,37
OCL 218,Open Cluster,Cyg,9.7,21,44,+,53,43
OCL 240,Cluster Nebulosity,Cep,12,21,41.3,+,66,6
MCG 2-55-2,Galaxy,Cap,14,21,47.7,-,13,11
MCG 2-55-13,Galaxy,Peg,14,21,47.2,+,10,14
ESO 403-35,Galaxy,PsA,11.7,21,49.8,-,34,53
UGC 11815,Galaxy,Peg,12.4,21,48.2,+,22,10
UGC 11817,Galaxy,Peg,15,21,49,+,12,30
OCL 241,Open Cluster,Cep,9.3,21,45.9,+,65,48
ESO 237-11,Galaxy,Gru,10.7,21,52.7,-,48,15
ESO 237-13,Galaxy,Gru,11.2,21,53.3,-,47,53
MCG 0-55-24,Galaxy,Peg,15,21,51.8,+,3,1
MCG 0-55-25,Galaxy,Peg,15,21,52,+,3,4
UGC 11835,Galaxy,Peg,14,21,52.2,+,3,18
ESO 466-13,Galaxy,PsA,14,21,53.9,-,29,16
ESO 466-16,Galaxy,PsA,14,21,54.4,-,29,2
IC 5143,Galaxy,Ind,13,21,56.2,-,49,32
UGC 11843,Galaxy,Peg,13,21,54.6,+,2,57
ESO 532-3,Galaxy,PsA,14,21,56.8,-,25,23
ZWG 428. 3,Galaxy,Peg,15,21,56.4,+,13,34
OCL 236,Open Cluster,Cep,6.1,21,53.7,+,62,36
ESO 288-26,Galaxy,Gru,13,21,59.8,-,43,19
ESO 466-30,Galaxy,PsA,13.4,21,59.3,-,31,53
MCG 3-56-2,Galaxy,Aqr,14,21,59.5,-,16,31
ESO 288-27,Galaxy,Gru,11.8,22,0.7,-,43,25
ESO 532-9,Galaxy,Aqr,13,22,0.5,-,24,38
ESO 237-26,Galaxy,Ind,13,22,2.1,-,51,45
MCG 2-56-5,Galaxy,Aqr,12.3,22,1,-,13,16
ESO 466-38,Galaxy,PsA,11.9,22,2,-,31,52
NGC 7174,Galaxy,PsA,12.1,22,2,-,31,58
ESO 466-40,Galaxy,PsA,12.6,22,2.1,-,31,59
ESO 466-41,Galaxy,PsA,11.9,22,2.1,-,31,59
UGC 11872,Galaxy,Peg,11.2,22,0.7,+,17,44
ESO 601-6,Galaxy,Aqr,12.5,22,2.3,-,20,33
ZWG 377. 14,Galaxy,Aqr,15,22,1.8,-,1,58
MCG 0-56-6,Galaxy,Aqr,15,22,1.9,-,2,12
ESO 601-8,Galaxy,Aqr,14,22,2.4,-,18,56
ESO 601-9,Galaxy,Aqr,12,22,2.7,-,20,49
ESO 601-10,Galaxy,Aqr,14,22,3.1,-,20,28
ESO 601-11,Galaxy,Aqr,14,22,3.5,-,20,20
UGC 11882,Galaxy,Aqr,14,22,3.3,+,0,34
UGC 11885,Galaxy,Peg,15,22,3.1,+,11,12
ESO 108-12,Galaxy,Ind,12,22,6.8,-,64,19
UGC 11888,Galaxy,Peg,14,22,3.5,+,12,37
MCG 2-56-9,Galaxy,Peg,15,22,3.4,+,12,39
ESO 237-36,Galaxy,Ind,11.5,22,6,-,50,7
UGC 11887,Galaxy,Lac,14,22,2.9,+,41,3
MCG 0-56-8,Galaxy,Aqr,15,22,5.3,-,0,39
