Name,Type,Constellation,Magnitude,RAHour,RAMinute,DecSign,DecDeg,DecMinute
M 47,Open Cluster,Pup,4.4,7,36.6,-,14,30
OCL 592,Open Cluster,Pup,6.7,7,37.1,-,13,52
UGC 3959,Galaxy,Lyn,12.6,7,40.7,+,39,14
UGC 3977,Galaxy,Lyn,14,7,43.2,+,52,49
ESO 208-27,Galaxy,Pup,11.6,7,36.5,-,47,38
NGC 2436,Galaxy,Lyn,14,7,45.3,+,53,4
OCL 620,Open Cluster,Pup,10,7,40.9,-,19,5
ESO 59-5,Galaxy,Vol,11.2,7,34.9,-,69,17
UGC 3996,Galaxy,Gem,13,7,44.2,+,31,38
M 46,Open Cluster,Pup,6.1,7,41.8,-,14,49
PK 231+4.2,Planetary Nebula,Pup,10,7,41.8,-,14,44
OCL 688,Open Cluster,Pup,6.9,7,40.8,-,31,39
PK 234+2.1,Planetary Nebula,Pup,11,7,41.9,-,18,13
UGC 4036,Galaxy,Cam,12.2,7,52.2,+,73,2
NGC 2443,Galaxy,Vol,11,7,36.4,-,69,32
UGC 4016,Galaxy,Lyn,12.9,7,46.9,+,39,2
UGC 4017,Galaxy,Lyn,13,7,46.9,+,39,1
UGC 4027,Galaxy,Lyn,14,7,48.7,+,54,36
M 93,Open Cluster,Pup,6.2,7,44.6,-,23,52
UGC 4026,Galaxy,Gem,14,7,47.3,+,26,55
MCG 5-19-8,Galaxy,Gem,15,7,47.5,+,27,0
OCL 716,Open Cluster,Pup,2.8,7,45.4,-,37,58
PK 243-1.1,Planetary Nebula,Pup,13,7,47.4,-,27,20
OCL 670,Open Cluster,Pup,8.3,7,47.8,-,27,14
UGC 4053,Galaxy,Gem,14,7,50.5,+,16,22
OCL 636,Open Cluster,Pup,10,7,49,-,21,18
UGC 4073,Galaxy,Lyn,14,7,54.1,+,55,29
MCG 9-13-87,Galaxy,Lyn,15,7,54.7,+,55,32
UGC 4097,Galaxy,Cam,11.7,7,56.9,+,60,21
MCG 10-12-24,Galaxy,Lyn,14,7,56.7,+,56,39
MCG 10-12-31,Galaxy,Lyn,15,7,57.1,+,56,40
OCL 668,Cluster Nebulosity,Pup,7,7,52.6,-,26,23
UGC 4110,Galaxy,Lyn,15,7,58,+,56,22
UGC 4111,Galaxy,Lyn,13,7,58.1,+,56,41
UGC 4091,Galaxy,CMi,14,7,54.3,+,4,27
MCG 10-12-39,Galaxy,Lyn,15,7,58.6,+,56,42
UGC 4114,Galaxy,Lyn,14,7,57.9,+,52,51
PK 164+31.1,Galaxy,Lyn,14,7,58,+,52,51
UGC 4106,Galaxy,Lyn,13,7,56.7,+,39,56
OCL 720,Open Cluster,Pup,5.8,7,52.3,-,38,33
OCL 623,Open Cluster,Pup,10,7,55.1,-,17,43
UGC 4116,Galaxy,Gem,15,7,57.2,+,23,47
UGC 4118,Galaxy,Gem,13,7,57.3,+,23,46
OCL 653,Open Cluster,Pup,7.3,7,54.9,-,24,18
ESO 430-SC2,Open Cluster,Pup,7.6,7,55.9,-,27,56
UGC 4125,Galaxy,Lyn,15,7,58.5,+,37,47
UGC 4112,Galaxy,CMi,13,7,56.7,+,7,29
UGC 4123,Galaxy,Gem,14,7,57.9,+,25,9
UGC 4126,Galaxy,Gem,14,7,58.3,+,25,8
UGC 4161,Galaxy,Lyn,14,8,1.8,+,56,34
OCL 690,Open Cluster,Pup,7.9,7,56.2,-,30,4
MCG 5-19-27,Galaxy,Gem,15,7,59.2,+,27,5
ZWG 31. 7,Galaxy,CMi,15,7,58.4,+,7,59
UGC 4138,Galaxy,Gem,14,7,59.4,+,27,2
UGC 4150,Galaxy,Lyn,13,8,0.4,+,39,50
IC 487,Galaxy,Mon,14,7,59.2,-,0,38
UGC 4127,Galaxy,CMi,15,7,58.6,+,8,2
UGC 4168,Galaxy,Lyn,14,8,2.3,+,56,57
UGC 4142,Galaxy,Gem,14,7,59.6,+,24,58
MCG 1-21-3,Galaxy,CMi,15,7,58.8,+,7,30
UGC 4165,Galaxy,Lyn,11.6,8,1.9,+,50,44
MCG 2-21-2,Galaxy,Pup,14,7,58.6,-,14,22
UGC 4158,Galaxy,Cnc,15,8,0.6,+,22,24
UGC 4152,Galaxy,CMi,14,7,59.8,+,5,37
UGC 4193,Galaxy,Lyn,14,8,4,+,53,34
OCL 593,Open Cluster,Mon,7.6,8,0.2,-,10,47
UGC 4172,Galaxy,Cnc,14,8,1.6,+,15,43
UGC 4174,Galaxy,CMi,14,8,2,+,8,34
OCL 630,Open Cluster,Pup,9,8,0.7,-,19,4
UGC 4178,Galaxy,CMi,14,8,2.2,+,9,29
MCG 2-21-8,Galaxy,CMi,15,8,2.3,+,9,24
UGC 4191,Galaxy,Cnc,14,8,3.1,+,23,24
UGC 4184,Galaxy,Cnc,13,8,2.5,+,9,25
UGC 4189,Galaxy,Cnc,14,8,2.8,+,15,49
OCL 776,Open Cluster,Car,3.8,7,58.3,-,60,52
MCG 2-21-3,Galaxy,Pup,12.3,8,2.8,-,12,19
UGC 4221,Galaxy,Lyn,14,8,7.3,+,51,9
UGC 4235,Galaxy,Lyn,14,8,8.8,+,57,46
UGC 4218,Galaxy,Cnc,14,8,6.1,+,17,43
UGC 4271,Galaxy,Cam,12,8,15,+,73,35
UGC 4234,Galaxy,Lyn,13,8,8.1,+,39,10
MCG 2-21-4,Galaxy,Pup,11.6,8,5.6,-,11,26
UGC 4231,Galaxy,Cnc,14,8,6.9,+,8,1
NGC 2520,Open Cluster,Pup,6.5,8,5.3,-,28,10
UGC 4227,Galaxy,Lyn,13,8,7.4,+,39,13
UGC 4256,Galaxy,Lyn,12.4,8,10.2,+,33,57
OCL 695,Open Cluster,Pup,7.6,8,7,-,29,54
UGC 4268,Galaxy,Lyn,14,8,12.9,+,55,40
UGC 4264,Galaxy,Cnc,12.6,8,11.2,+,25,12
MCG 4-20-5,Galaxy,Cnc,14.1,8,11.3,+,25,11
UGC 4274,Galaxy,Lyn,11.7,8,13.2,+,46,0
UGC 4266,Galaxy,CMi,14,8,11.4,+,3,37
OCL 611,Open Cluster,Pup,6.5,8,10.7,-,12,50
UGC 4275,Galaxy,Cnc,14,8,12.8,+,26,21
UGC 4284,Galaxy,Lyn,11.8,8,14.7,+,49,4
IC 2232,Galaxy,Lyn,13,8,13,+,36,15
UGC 4327,Galaxy,Cam,12,8,21.7,+,73,59
UGC 4287,Galaxy,Cnc,12.4,8,14.2,+,21,21
OCL 726,Open Cluster,Pup,6.3,8,12.4,-,37,38
OCL 753,Open Cluster,Vel,4.7,8,10.7,-,49,16
M 48,Open Cluster,Hya,5.8,8,13.8,-,5,48
UGC 4313,Galaxy,Lyn,11.1,8,19,+,57,48
UGC 4359,Galaxy,Cam,13,8,24.6,+,74,1
UGC 4362,Galaxy,Cam,12,8,24.8,+,73,25
UGC 4325,Galaxy,Lyn,12.2,8,19.3,+,50,1
MCG 4-20-14,Galaxy,Cnc,15,8,17.7,+,20,54
UGC 4312,Galaxy,Cnc,14,8,17.9,+,23,28
UGC 4319,Galaxy,Hya,13,8,18,+,0,44
ZWG 119. 45,Galaxy,Cnc,15,8,19.2,+,20,55
UGC 4330,Galaxy,Cnc,15,8,19.2,+,21,27
UGC 4331,Galaxy,Cnc,14,8,19.4,+,20,30
UGC 4337,Galaxy,Cnc,15,8,19.9,+,20,59
UGC 4336,Galaxy,Hya,14,8,19.6,+,4,39
UGC 4345,Galaxy,Cnc,12.9,8,20.4,+,21,8
UGC 4347,Galaxy,Cnc,12.3,8,20.6,+,21,4
UGC 4334,Galaxy,Cnc,14,8,19.8,+,22,2
ESO 495-3,Galaxy,Pup,15,8,18.7,-,25,29
OCL 708,Open Cluster,Pup,7.4,8,18.6,-,30,38
MCG 4-20-35,Galaxy,Cnc,15,8,21.5,+,20,52
UGC 4354,Galaxy,Cnc,15,8,21.5,+,20,55
OCL 701,Open Cluster,Pup,7,8,18.9,-,29,44
UGC 4355,Galaxy,Cnc,15,8,21.4,+,19,8
ESO 1-1,Galaxy,Oct,13.5,1,42,-,89,20
MCG 1-22-3,Galaxy,Hya,14,8,20.8,-,8,57
UGC 4368,Galaxy,Cnc,14,8,22.8,+,24,17
UGC 4371,Galaxy,Cnc,15,8,22.9,+,25,44
UGC 4367,Galaxy,Cnc,13,8,22.7,+,22,33
MCG 2-22-2,Galaxy,Pup,12.4,8,21.4,-,13,19
OCL 724,Cluster Nebulosity,Pup,7.5,8,21.1,-,36,11
OCL 709,Open Cluster,Pup,10,8,21.6,-,30,19
UGC 4388,Galaxy,Cnc,14,8,24.5,+,18,35
IC 2359,Galaxy,Cnc,14,8,25.3,+,20,20
MCG 1-22-8,Galaxy,Hya,13.5,8,23.2,-,5,1
MCG 1-22-9,Galaxy,Hya,14,8,23.2,-,5,0
MCG 1-22-10,Galaxy,Hya,14,8,23.4,-,4,56
OCL 706,Open Cluster,Pup,9,8,23.5,-,29,30
OCL 715,Open Cluster,Pup,12,8,23.2,-,32,59
IC 507,Galaxy,Hya,14,8,25.1,-,0,36
UGC 4472,Galaxy,Cam,13,8,37.4,+,78,2
UGC 4411,Galaxy,Cnc,13,8,27.1,+,25,58
UGC 4408,Galaxy,Cnc,15,8,26.8,+,17,22
MCG 4-20-56,Galaxy,Cnc,15,8,27.3,+,25,52
UGC 4422,Galaxy,Cnc,14,8,27.7,+,21,29
UGC 4419,Galaxy,Cnc,14,8,27.4,+,17,17
UGC 4443,Galaxy,Cnc,13.7,8,30,+,21,29
UGC 4458,Galaxy,Cnc,13,8,32.2,+,22,34
UGC 4475,Galaxy,UMa,15,8,34.8,+,52,44
MCG 9-14-72,Galaxy,UMa,15,8,35.7,+,52,48
UGC 4473,Galaxy,Cnc,15,8,33.9,+,26,59
UGC 4484,Galaxy,Cnc,12.1,8,35.3,+,28,28
PK 239+13.1,Planetary Nebula,Hya,14,8,33.4,-,16,9
ZWG 119.127,Galaxy,Cnc,15,8,35.5,+,25,2
MCG 2-22-20,Galaxy,Hya,13,8,33.8,-,13,9
ESO 495-18,Galaxy,Pyx,10.4,8,33.4,-,22,58
UGC 4523,Galaxy,UMa,14,8,42.8,+,72,59
UGC 4481,Galaxy,Hya,13,8,34.6,-,2,32
UGC 4489,Galaxy,Hya,12.6,8,35.6,-,1,51
MCG 1-22-27,Galaxy,Hya,15,8,35.7,-,4,3
UGC 4492,Galaxy,Hya,14,8,36.2,+,0,42
UGC 4503,Galaxy,Cnc,13,8,37.6,+,28,43
UGC 4501,Galaxy,Cnc,15,8,37.5,+,24,57
MCG 4-21-3,Galaxy,Cnc,15,8,37.7,+,25,0
MCG 4-21-8,Galaxy,Cnc,15,8,38.3,+,24,55
UGC 4509,Galaxy,Cnc,13.8,8,38.4,+,25,45
UGC 4506,Galaxy,Cnc,14,8,38.1,+,19,44
OCL 714,Open Cluster,Pyx,8,8,37.3,-,29,57
UGC 4519,Galaxy,Cnc,14,8,40.5,+,23,33
UGC 4569,Galaxy,UMa,13,8,47.2,+,72,59
M 44,Open Cluster,Cnc,3.1,8,40.1,+,19,59
UGC 4574,Galaxy,Cam,11.9,8,48.1,+,74,6
UGC 4581,Galaxy,Cam,13,8,48.4,+,73,58
OCL 728,Open Cluster,Pyx,11.2,8,38.5,-,34,46
UGC 4583,Galaxy,Cam,14,8,48.4,+,73,40
UGC 4534,Galaxy,Lyn,13,8,42.4,+,37,13
UGC 4544,Galaxy,UMa,11.8,8,43.6,+,50,12
UGC 4577,Galaxy,UMa,15,8,48.1,+,72,54
MCG 1-22-33,Galaxy,Hya,13,8,40.7,-,4,7
UGC 4533,Galaxy,Hya,13,8,41.5,+,4,59
UGC 4604,Galaxy,Cam,12,8,50.4,+,73,28
ZWG 89. 68,Galaxy,Cnc,15,8,42.6,+,19,40
UGC 4541,Galaxy,Cnc,13,8,42.7,+,14,17
UGC 4555,Galaxy,Lyn,13,8,44.1,+,34,43
UGC 4603,Galaxy,UMa,14,8,50,+,70,18
ZWG 61. 1,Galaxy,Cnc,15,8,44,+,11,47
UGC 4605,Galaxy,UMa,11.8,8,49.2,+,60,13
UGC 4637,Galaxy,Cam,10.1,8,55.6,+,78,13
MCG 9-15-25,Galaxy,UMa,13.3,8,47.8,+,53,52
UGC 4573,Galaxy,Cnc,14,8,45.4,+,9,40
OCL 723,Open Cluster,Pyx,9,8,43.4,-,32,39
OCL 752,Open Cluster,Vel,8.6,8,42.6,-,44,57
OCL 759,Open Cluster,Vel,8.8,8,42.2,-,47,9
UGC 4584,Galaxy,Cnc,14,8,46,+,12,38
MCG 2-23-2,Galaxy,Hya,15,8,45.7,-,15,8
ESO 563-19,Galaxy,Hya,13,8,46,-,19,17
UGC 4616,Galaxy,Lyn,15,8,49.4,+,36,41
OCL 768,Open Cluster,Vel,6.1,8,44.9,-,52,58
OCL 764,Open Cluster,Vel,7.8,8,45.5,-,48,47
OCL 745,Open Cluster,Vel,12,8,46.2,-,41,53
UGC 4619,Galaxy,Cnc,11.6,8,49.3,+,19,4
UGC 4619,Galaxy,Cnc,12.9,8,49.4,+,19,4
UGC 4629,Galaxy,UMa,14,8,51.9,+,53,36
UGC 4627,Galaxy,UMa,14,8,51.5,+,47,33
MCG 3-23-12,Galaxy,Cnc,15,8,50,+,19,0
UGC 4632,Galaxy,Cnc,14,8,51.5,+,30,52
UGC 4632,Galaxy,Cnc,14,8,51.5,+,30,52
UGC 4645,Galaxy,UMa,10.3,8,53.5,+,51,19
M 67,Open Cluster,Cnc,6.9,8,50.4,+,11,49
UGC 4641,Galaxy,Lyn,9.7,8,52.7,+,33,25
UGC 4662,Galaxy,UMa,13,8,54.8,+,49,8
UGC 4666,Galaxy,UMa,11.1,8,55.6,+,58,44
UGC 4647,Galaxy,Hya,14,8,52.7,-,2,37
UGC 4664,Galaxy,Lyn,14,8,54.8,+,39,32
UGC 4675,Galaxy,UMa,14,8,57,+,52,4
UGC 4674,Galaxy,UMa,11.7,8,57,+,51,21
MCG 9-15-56,Galaxy,UMa,14.3,8,57,+,51,20
MCG 0-23-10,Galaxy,Hya,13,8,54.5,-,3,5
MCG 0-23-11,Galaxy,Hya,13,8,55.1,-,3,0
MCG 0-23-12,Galaxy,Hya,13,8,55.6,-,3,11
MCG 0-23-14,Galaxy,Hya,13,8,55.9,-,3,9
UGC 4695,Galaxy,UMa,12.4,8,59.1,+,53,46
IC 2424,Galaxy,Lyn,14,8,56.9,+,39,22
UGC 4680,Galaxy,Hya,14,8,56.3,-,2,35
NGC 2727,Galaxy,Hya,14,8,56.1,-,3,22
MCG 0-23-16,Galaxy,Hya,15,8,56.3,-,3,16
UGC 4705,Galaxy,UMa,14,8,59.8,+,55,41
UGC 4688,Galaxy,Cnc,14,8,57.3,+,17,17
UGC 4708,Galaxy,Lyn,12,8,59.5,+,44,55
UGC 4691,Galaxy,Hya,11.7,8,57.3,+,2,55
UGC 4759,Galaxy,Cam,11.4,9,8.1,+,78,5
UGC 4692,Galaxy,Hya,12.4,8,57.6,+,3,5
ESO 496-21,Galaxy,Pyx,14,8,57,-,24,40
UGC 4707,Galaxy,Hya,13,8,58.9,+,6,18
UGC 4718,Galaxy,Lyn,14,9,0.3,+,35,44
UGC 4710,Galaxy,Cnc,14,8,59.2,+,11,10
MCG 1-23-15,Galaxy,Hya,13,8,58.9,-,4,46
UGC 4723,Galaxy,Hya,15,9,0.2,+,3,11
UGC 4726,Galaxy,Lyn,15,9,1,+,35,46
UGC 4732,Galaxy,Cnc,14,9,1.1,+,11,5
UGC 4750,Galaxy,UMa,13,9,4.9,+,59,56
UGC 4738,Galaxy,Cnc,15,9,1.8,+,11,4
UGC 4737,Galaxy,Hya,14,9,1.5,+,3,43
UGC 4743,Galaxy,Cnc,13,9,2.3,+,16,50
UGC 4741,Galaxy,Cnc,14,9,2.1,+,8,18
UGC 4818,Galaxy,Cam,11.9,9,13.4,+,79,11
UGC 4744,Galaxy,Cnc,14,9,2.6,+,25,56
UGC 4751,Galaxy,Cnc,15,9,3.9,+,21,54
UGC 4752,Galaxy,Cnc,14,9,3.9,+,21,58
MCG 9-15-85,Galaxy,UMa,15,9,6,+,51,45
MCG 9-15-86,Galaxy,UMa,15,9,6.1,+,51,44
NGC 2816,Galaxy,UMa,11.7,9,7.6,+,60,29
UGC 4760,Galaxy,Cnc,14,9,5,+,25,0
UGC 4757,Galaxy,Cnc,13.4,9,4.7,+,18,28
ZWG 90. 64,Galaxy,Cnc,15,9,4.6,+,18,15
UGC 4770,Galaxy,Lyn,14,9,6,+,35,22
ZWG 90. 70,Galaxy,Cnc,15,9,5.3,+,18,26
UGC 4825,Galaxy,Cam,11.7,9,13.7,+,76,29
UGC 4763,Galaxy,Cnc,12,9,5.4,+,18,19
UGC 4769,Galaxy,Cnc,12,9,5.7,+,25,26
MCG 3-23-37,Galaxy,Cnc,15,9,5.5,+,18,15
UGC 4772,Galaxy,Cnc,15,9,5.7,+,18,20
MCG 4-22-15,Galaxy,Cnc,15,9,7.2,+,25,20
UGC 4789,Galaxy,Lyn,14,9,7.9,+,41,43
UGC 4796,Galaxy,UMa,13,9,9,+,53,51
ESO 564-20,Galaxy,Hya,14,9,5.4,-,19,3
UGC 4795,Galaxy,Lyn,14,9,8.6,+,37,37
MCG 3-23-41,Galaxy,Cnc,15,9,7.5,+,18,26
MCG 8-17-45,Galaxy,UMa,15,9,9.8,+,50,26
MCG 2-23-10,Galaxy,Hya,12.1,9,6.8,-,15,30
UGC 4794,Galaxy,Cnc,12.7,9,8.3,+,21,27
UGC 4791,Galaxy,Hya,13,9,7.6,+,3,23
UGC 4801,Galaxy,Cnc,14,9,8.8,+,29,52
UGC 4813,Galaxy,UMa,14,9,10.1,+,50,25
UGC 4821,Galaxy,UMa,10,9,11.6,+,60,2
UGC 4816,Galaxy,UMa,14,9,10.4,+,50,27
UGC 4817,Galaxy,UMa,14,9,10.5,+,50,24
ESO 497-14,Galaxy,Pyx,15,9,7.7,-,23,37
UGC 4815,Galaxy,Cnc,14,9,9.6,+,7,11
MCG 3-24-4,Galaxy,Cnc,15,9,10.6,+,18,42
UGC 4820,Galaxy,Cnc,10.3,9,10.3,+,7,2
UGC 4838,Galaxy,Lyn,11.6,9,12.2,+,44,57
UGC 4823,Galaxy,Cnc,14,9,10.7,+,7,12
UGC 4840,Galaxy,Lyn,13,9,12.3,+,35,1
MCG 6-20-44,Galaxy,Lyn,15,9,12.3,+,35,3
UGC 4843,Galaxy,Lyn,14,9,12.7,+,34,55
MCG 2-24-2,Galaxy,Hya,11.5,9,11.5,-,14,49
UGC 4862,Galaxy,Lyn,11.5,9,14.1,+,40,7
ESO 497-23,Galaxy,Hya,10.1,9,12.3,-,24,10
UGC 4876,Galaxy,Lyn,15,9,15.2,+,40,55
UGC 4914,Galaxy,UMa,10.8,9,19.3,+,69,12
UGC 4875,Galaxy,Cnc,14,9,15,+,29,44
MCG 3-24-16,Galaxy,Cnc,14,9,15,+,19,43
ZWG 91. 33,Galaxy,Cnc,15,9,15,+,17,36
PK 265+4.1,Planetary Nebula,Vel,14,9,12.4,-,42,26
UGC 4894,Galaxy,Lyn,14,9,16.8,+,34,26
UGC 4885,Galaxy,Cnc,14,9,16,+,17,36
UGC 4887,Galaxy,Cnc,14,9,16.1,+,17,38
UGC 4893,Galaxy,Cnc,14,9,16.7,+,30,55
UGC 4891,Galaxy,Cnc,14,9,16.4,+,17,44
UGC 4905,Galaxy,Lyn,12.3,9,17.4,+,42,0
UGC 4909,Galaxy,Lyn,14,9,17.5,+,42,0
UGC 4920,Galaxy,UMa,14,9,18.6,+,52,31
UGC 4899,Galaxy,Cnc,15,9,16.7,+,19,56
UGC 4897,Galaxy,Cnc,14,9,16.7,+,18,58
UGC 4898,Galaxy,Cnc,14,9,16.7,+,18,58
UGC 4901,Galaxy,Cnc,14,9,16.8,+,20,12
UGC 4936,Galaxy,UMa,11.3,9,20.3,+,64,6
MCG 3-24-31,Galaxy,Cnc,15,9,17,+,20,2
GCL 13,Globular Cluster,Car,6.3,9,12,-,64,52
UGC 4910,Galaxy,Cnc,14,9,17.1,+,20,4
MCG 3-24-3,Galaxy,Hya,11.3,9,16.2,-,16,19
ZWG 91. 60,Galaxy,Cnc,15,9,17.6,+,19,55
UGC 4916,Galaxy,Cnc,15,9,17.7,+,19,54
UGC 4952,Galaxy,UMa,13.8,9,21.2,+,64,15
ESO 497-32,Galaxy,Hya,13,9,16.3,-,23,38
MCG 1-24-6,Galaxy,Hya,13,9,17.3,-,4,44
PK 261+8.1,Open Cluster,Pyx,8.2,9,16,-,36,37
UGC 4924,Galaxy,Cnc,14,9,18.2,+,16,13
UGC 4961,Galaxy,UMa,12.8,9,21.8,+,64,16
ESO 497-34,Galaxy,Pyx,14,9,16.8,-,26,49
ESO 61-4,Galaxy,Car,12,9,14,-,69,38
UGC 4933,Galaxy,Cnc,14,9,19,+,26,16
UGC 4939,Galaxy,Lyn,15,9,19.4,+,33,37
IC 2460,Galaxy,Lyn,15,9,19.2,+,33,52
ZWG 181. 21,Galaxy,Lyn,15,9,19.5,+,33,53
UGC 4941,Galaxy,Lyn,15,9,19.7,+,33,44
UGC 4942,Galaxy,Lyn,13.6,9,19.7,+,33,44
UGC 4942,Galaxy,Lyn,11.5,9,19.8,+,33,44
ZWG 181. 27,Galaxy,Lyn,15,9,19.9,+,33,56
MCG 6-21-21,Galaxy,Lyn,15,9,20,+,33,43
ESO 564-35,Galaxy,Hya,11,9,17.9,-,22,21
MCG 7-19-61,Galaxy,Lyn,14,9,20.7,+,39,19
MCG 6-21-23,Galaxy,Lyn,15,9,20.6,+,33,40
UGC 4960,Galaxy,Lyn,15,9,20.8,+,35,23
UGC 4966,Galaxy,UMa,9.3,9,22,+,50,58
UGC 4971,Galaxy,Lyn,12.9,9,21.8,+,40,9
MCG 3-24-7,Galaxy,Hya,12.1,9,20.2,-,16,32
MCG 3-24-8,Galaxy,Hya,15,9,20.6,-,16,28
UGC 4986,Galaxy,Lyn,14,9,23.2,+,40,10
UGC 4987,Galaxy,Lyn,14,9,23.3,+,40,12
UGC 4995,Galaxy,UMa,14,9,24,+,49,13
MCG 2-24-15,Galaxy,Hya,11.6,9,21.5,-,11,55
UGC 4997,Galaxy,UMa,14,9,24.2,+,49,15
UGC 5000,Galaxy,UMa,14,9,24.5,+,49,21
UGC 4989,Galaxy,Hya,14,9,22.9,+,3,9
UGC 5001,Galaxy,LMi,10.7,9,24.3,+,34,31
UGC 5007,Galaxy,Lyn,15,9,24.9,+,41,4
UGC 4999,Galaxy,Hya,14,9,23.6,+,2,8
UGC 5010,Galaxy,Leo,14,9,24.9,+,26,46
NGC 2869,Galaxy,Hya,13,9,23.6,-,10,24
MCG 1-24-20,Galaxy,Hya,15,9,24.2,+,5,57
ESO 498-1,Galaxy,Hya,11.4,9,23.5,-,23,10
PK 278-5.1,Planetary Nebula,Car,10,9,21.4,-,58,19
UGC 5034,Galaxy,UMa,14,9,27.8,+,57,23
UGC 5018,Galaxy,Leo,13,9,25.7,+,11,26
MCG 2-24-9,Galaxy,Leo,15,9,25.9,+,11,27
UGC 5021,Galaxy,Leo,14,9,25.8,+,11,26
MCG 1-24-16,Galaxy,Hya,14,9,25.2,-,6,43
MCG 0-24-15,Galaxy,Hya,14,9,25.8,+,2,13
UGC 5022,Galaxy,Hya,15,9,25.8,+,2,5
UGC 5051,Galaxy,UMa,11.6,9,29.6,+,62,30
MCG 2-24-21,Galaxy,Hya,14,9,25.9,-,11,59
UGC 5030,Galaxy,Leo,13,9,26.5,+,7,56
MCG 2-24-22,Galaxy,Hya,13,9,26.4,-,11,33
ESO 434-2,Galaxy,Pyx,12.5,9,26.3,-,28,2
MCG 2-24-26,Galaxy,Hya,11.8,9,27.2,-,11,38
MCG 2-24-24,Galaxy,Hya,15,9,26.6,-,14,32
ESO 498-8,Galaxy,Pyx,14,9,26.8,-,24,49
UGC 5073,Galaxy,UMa,14,9,32.9,+,67,37
UGC 5060,Galaxy,Leo,13,9,30.3,+,29,32
UGC 5056,Galaxy,Leo,13,9,29.4,+,7,43
MCG 10-14-18,Galaxy,UMa,14,9,32.4,+,57,29
MCG 4-23-7,Galaxy,Leo,15,9,30.3,+,23,39
MCG 0-24-18,Galaxy,Hya,15,9,29.8,+,2,3
UGC 5065,Galaxy,Hya,14,9,30.3,+,4,8
MCG 2-24-30,Galaxy,Hya,13,9,30.9,-,14,44
UGC 5079,Galaxy,Leo,8.9,9,32.2,+,21,30
ESO 434-6,Galaxy,Ant,13,9,30.2,-,30,23
UGC 5081,Galaxy,Leo,13,9,32.2,+,8,27
MCG 3-25-2,Galaxy,Hya,13,9,31.6,-,16,44
UGC 5152,Galaxy,Dra,14,9,43.5,+,79,41
OCL 781,Open Cluster,Vel,7.2,9,30.4,-,52,54
UGC 5092,Galaxy,Leo,11.6,9,33.8,+,10,9
UGC 5095,Galaxy,Leo,14,9,34,+,9,28
UGC 5096,Galaxy,Leo,13.1,9,34,+,10,7
ESO 37-3,Galaxy,Cha,12.6,9,26.2,-,76,38
UGC 5103,Galaxy,Leo,12,9,35,+,21,42
UGC 5098,Galaxy,Hya,14,9,34.5,-,2,30
UGC 5112,Galaxy,Leo,13,9,35.8,+,31,42
UGC 5102,Galaxy,Leo,14,9,34.8,+,10,17
ESO 565-17,Galaxy,Hya,13,9,34.7,-,20,57
UGC 5118,Galaxy,LMi,14,9,36.8,+,37,41
ZWG 92. 8,Galaxy,Leo,15,9,36,+,16,45
MCG 3-25-8,Galaxy,Hya,13,9,35.2,-,16,24
OCL 783,Open Cluster,Vel,8,9,33.7,-,53,26
UGC 5125,Galaxy,Leo,14,9,37.5,+,32,50
UGC 5122,Galaxy,Leo,14,9,37.2,+,23,35
MCG 3-25-5,Galaxy,Leo,15,9,37.3,+,16,58
UGC 5126,Galaxy,Leo,14,9,37.4,+,23,9
MCG 4-23-18,Galaxy,Leo,14,9,37.5,+,23,12
MCG 4-23-19,Galaxy,Leo,15,9,37.6,+,23,14
UGC 5132,Galaxy,Leo,15,9,38,+,17,1
NPM1G +17.0268,Galaxy,Leo,15,9,38,+,17,1
ESO 565-23,Galaxy,Hya,12,9,36.7,-,21,8
UGC 5130,Galaxy,Hya,13.1,9,37.7,+,2,44
UGC 5131,Galaxy,Hya,13.6,9,37.7,+,2,44
UGC 5115,Galaxy,Dra,14,9,38.3,+,76,19
UGC 5134,Galaxy,Leo,14,9,38.1,+,9,31
MCG 2-25-12,Galaxy,Leo,15,9,38.1,+,9,36
MCG 3-25-9,Galaxy,Leo,15,9,38.4,+,17,3
UGC 5140,Galaxy,LMi,13,9,39.1,+,34,0
UGC 5136,Galaxy,Leo,14,9,38.6,+,17,2
UGC 5144,Galaxy,Leo,15,9,39.3,+,32,19
ESO 565-28,Galaxy,Hya,14,9,37.6,-,22,2
UGC 5143,Galaxy,Leo,15,9,39.1,+,17,1
UGC 5141,Galaxy,Leo,14,9,38.9,+,6,57
ZWG 92. 25,Galaxy,Leo,15,9,40,+,16,47
UGC 5176,Galaxy,UMa,11,9,42.6,+,58,51
MCG 0-25-6,Galaxy,Hya,15,9,39.7,-,0,14
UGC 5155,Galaxy,Leo,13,9,40.5,+,14,55
UGC 5166,Galaxy,LMi,12.7,9,41.3,+,35,53
UGC 5160,Galaxy,Leo,14,9,40.6,+,11,53
UGC 5202,Galaxy,UMa,14,9,45.1,+,68,36
UGC 5159,Galaxy,Hya,13,9,40.6,+,3,34
UGC 5167,Galaxy,Hya,11.7,9,40.9,+,5,10
UGC 5222,Galaxy,Dra,14,9,47.8,+,72,58
UGC 5183,Galaxy,Leo,11.3,9,42.9,+,31,51
UGC 5191,Galaxy,LMi,14,9,43.2,+,36,14
UGC 5181,Galaxy,Sex,14,9,42.2,+,4,40
UGC 5180,Galaxy,Sex,11.6,9,42.1,+,0,20
